name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,loudness,mode,duration_minutes,key,album_name,year
Old Town Road - Remix,Lil Nas X,79,False,0.619,136.041,0.639,0.878,0.0533,-5.56,Major,2.6,Fsharp/Gflat,7 EP,2019
Panini,Lil Nas X,62,False,0.594,153.848,0.475,0.703,0.342,-6.146,Minor,1.9,F,7 EP,2019
F9mily (You & Me),Lil Nas X,48,False,0.534,170.054,0.408,0.556,0.019,-7.75,Major,2.7,C,7 EP,2019
Kick It,Lil Nas X,53,True,0.484,151.878,0.523,0.739,0.138,-9.646,Major,2.4,A,7 EP,2019
Rodeo,Lil Nas X,67,True,0.679,140.081,0.657,0.706,0.139,-5.614,Major,2.6,A,7 EP,2019
Bring U Down,Lil Nas X,53,False,0.511,120.05,0.482,0.676,0.0759,-6.83,Minor,2.2,A,7 EP,2019
C7osure (You Like),Lil Nas X,58,False,0.742,133.989,0.56,0.847,0.397,-5.515,Minor,2.5,Gsharp/Aflat,7 EP,2019
Old Town Road,Lil Nas X,78,False,0.53,135.998,0.507,0.907,0.0578,-6.112,Major,1.9,Csharp/Dflat,7 EP,2019
bad guy,Billie Eilish,85,False,0.425,135.128,0.562,0.701,0.328,-10.965,Major,3.2,G,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
xanny,Billie Eilish,74,False,0.125,111.554,0.0528,0.521,0.751,-17.832,Major,4.1,A,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
you should see me in a crown,Billie Eilish,79,False,0.533,150.455,0.323,0.678,0.462,-10.485,Major,3.0,E,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
all the good girls go to hell,Billie Eilish,77,False,0.444,185.044,0.569,0.726,0.283,-8.922,Minor,2.8,Gsharp/Aflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
wish you were gay,Billie Eilish,77,False,0.351,118.028,0.282,0.853,0.39,-10.198,Major,3.7,G,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
when the party's over,Billie Eilish,85,False,0.111,82.642,0.198,0.367,0.978,-14.084,Major,3.3,E,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
8,Billie Eilish,71,False,0.235,62.446,0.462,0.735,0.698,-13.239,Major,2.9,Dsharp/Eflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
my strange addiction,Billie Eilish,75,False,0.305,100.029,0.563,0.939,0.35,-10.952,Minor,3.0,Gsharp/Aflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
bury a friend,Billie Eilish,76,False,0.389,120.046,0.196,0.905,0.74,-14.505,Major,3.2,Gsharp/Aflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
ilomilo,Billie Eilish,74,False,0.423,120.02,0.572,0.855,0.724,-15.044,Minor,2.6,F,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
listen before i go,Billie Eilish,78,False,0.0561,79.764,0.082,0.319,0.935,-23.023,Major,4.0,C,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
i love you,Billie Eilish,81,False,0.131,137.446,0.12,0.421,0.952,-18.435,Major,4.9,C,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
goodbye,Billie Eilish,71,False,0.138,74.318,0.0503,0.153,0.837,-21.877,Minor,2.0,Fsharp/Gflat,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019
Señorita,Shawn Mendes,82,False,0.548,116.967,0.749,0.759,0.0392,-6.049,Minor,3.2,A,Shawn Mendes (Deluxe),2019
Lost In Japan,Shawn Mendes,53,False,0.738,105.049,0.381,0.711,0.264,-6.908,Major,3.3,Asharp/Bflat,Shawn Mendes (Deluxe),2019
If I Can't Have You,Shawn Mendes,75,False,0.823,123.935,0.87,0.691,0.487,-4.197,Major,3.2,D,Shawn Mendes (Deluxe),2019
In My Blood,Shawn Mendes,52,False,0.712,140.022,0.459,0.625,0.0542,-7.355,Major,3.5,F,Shawn Mendes (Deluxe),2019
Fallin' All In You,Shawn Mendes,51,False,0.481,92.031,0.761,0.856,0.414,-6.761,Major,3.9,Gsharp/Aflat,Shawn Mendes (Deluxe),2019
Where Were You In The Morning?,Shawn Mendes,48,False,0.507,87.989,0.479,0.717,0.557,-7.525,Major,3.3,G,Shawn Mendes (Deluxe),2019
Nervous,Shawn Mendes,47,False,0.627,121.96,0.732,0.844,0.0376,-6.753,Major,2.7,C,Shawn Mendes (Deluxe),2019
Like To Be You (feat. Julia Michaels),Shawn Mendes,46,False,0.444,153.754,0.628,0.737,0.799,-9.382,Major,2.7,D,Shawn Mendes (Deluxe),2019
Particular Taste,Shawn Mendes,45,False,0.351,111.954,0.585,0.968,0.0455,-7.084,Major,2.9,A,Shawn Mendes (Deluxe),2019
Because I Had You,Shawn Mendes,46,False,0.323,203.709,0.713,0.633,0.305,-9.723,Major,2.4,G,Shawn Mendes (Deluxe),2019
Why,Shawn Mendes,47,False,0.426,127.022,0.213,0.693,0.659,-9.226,Minor,4.0,F,Shawn Mendes (Deluxe),2019
Youth (feat. Khalid),Shawn Mendes,47,False,0.596,100.028,0.325,0.618,0.558,-6.663,Minor,3.2,B,Shawn Mendes (Deluxe),2019
Perfectly Wrong,Shawn Mendes,46,False,0.307,77.724,0.318,0.447,0.87,-11.773,Minor,3.5,D,Shawn Mendes (Deluxe),2019
Mutual,Shawn Mendes,45,False,0.476,115.012,0.814,0.917,0.242,-6.689,Minor,2.5,B,Shawn Mendes (Deluxe),2019
Queen,Shawn Mendes,43,False,0.682,131.024,0.931,0.881,0.202,-7.297,Major,3.4,Csharp/Dflat,Shawn Mendes (Deluxe),2019
When You're Ready,Shawn Mendes,45,False,0.479,171.218,0.662,0.438,0.777,-8.888,Major,2.8,F,Shawn Mendes (Deluxe),2019
imagine,Ariana Grande,70,True,0.475,62.52,0.371,0.729,0.378,-4.985,Major,3.5,Gsharp/Aflat,"thank u, next",2019
needy,Ariana Grande,73,True,0.309,87.045,0.195,0.647,0.78,-7.948,Minor,2.9,G,"thank u, next",2019
NASA,Ariana Grande,66,False,0.458,75.029,0.47,0.747,0.451,-6.891,Major,3.0,Fsharp/Gflat,"thank u, next",2019
bloodline,Ariana Grande,71,True,0.665,151.976,0.643,0.758,0.0815,-5.188,Minor,3.6,D,"thank u, next",2019
fake smile,Ariana Grande,66,True,0.619,83.3,0.427,0.45,0.329,-7.412,Major,3.5,A,"thank u, next",2019
bad idea,Ariana Grande,68,False,0.579,137.998,0.569,0.847,0.0268,-5.314,Major,4.5,Csharp/Dflat,"thank u, next",2019
make up,Ariana Grande,64,True,0.714,105.137,0.477,0.671,0.0844,-5.373,Major,2.3,G,"thank u, next",2019
ghostin,Ariana Grande,69,False,0.364,103.777,0.11,0.287,0.418,-8.295,Major,4.5,A,"thank u, next",2019
in my head,Ariana Grande,72,True,0.6,134.979,0.331,0.662,0.173,-6.402,Major,3.7,C,"thank u, next",2019
7 rings,Ariana Grande,86,True,0.317,140.048,0.327,0.778,0.592,-10.732,Minor,3.0,Csharp/Dflat,"thank u, next",2019
"thank u, next",Ariana Grande,83,True,0.653,106.966,0.412,0.717,0.229,-5.634,Major,3.5,Csharp/Dflat,"thank u, next",2019
"break up with your girlfriend, i'm bored",Ariana Grande,78,True,0.554,169.999,0.335,0.726,0.0421,-5.29,Minor,3.2,F,"thank u, next",2019
Hollywood's Bleeding,Post Malone,78,False,0.646,130.218,0.17,0.405,0.331,-3.206,Minor,2.6,E,Hollywood's Bleeding,2019
Saint-Tropez,Post Malone,75,True,0.684,132.113,0.295,0.617,0.0545,-3.618,Major,2.5,C,Hollywood's Bleeding,2019
Enemies (feat. DaBaby),Post Malone,71,True,0.674,76.388,0.667,0.542,0.0588,-4.169,Major,3.3,Fsharp/Gflat,Hollywood's Bleeding,2019
Allergic,Post Malone,65,True,0.741,144.968,0.57,0.665,0.154,-3.694,Major,2.6,C,Hollywood's Bleeding,2019
A Thousand Bad Times,Post Malone,69,True,0.732,159.0,0.317,0.632,0.105,-3.498,Major,3.7,Fsharp/Gflat,Hollywood's Bleeding,2019
Circles,Post Malone,89,False,0.762,120.042,0.553,0.695,0.192,-3.497,Major,3.6,C,Hollywood's Bleeding,2019
Die For Me (feat. Future & Halsey),Post Malone,72,True,0.66,145.01,0.452,0.614,0.19,-2.848,Major,4.1,C,Hollywood's Bleeding,2019
On The Road (feat. Meek Mill & Lil Baby),Post Malone,70,True,0.737,112.93,0.21,0.442,0.0589,-5.046,Major,3.6,G,Hollywood's Bleeding,2019
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,77,False,0.8,139.919,0.272,0.499,0.0906,-2.665,Minor,3.8,Csharp/Dflat,Hollywood's Bleeding,2019
I'm Gonna Be,Post Malone,68,True,0.559,117.943,0.368,0.746,0.703,-4.008,Major,3.3,F,Hollywood's Bleeding,2019
Staring At The Sun (feat. SZA),Post Malone,69,True,0.772,95.074,0.347,0.724,0.25,-4.389,Minor,2.8,Fsharp/Gflat,Hollywood's Bleeding,2019
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,False,0.522,89.96,0.925,0.755,0.533,-4.368,Major,2.6,D,Hollywood's Bleeding,2019
Internet,Post Malone,61,True,0.489,74.013,0.201,0.469,0.841,-6.071,Major,2.1,C,Hollywood's Bleeding,2019
Goodbyes (feat. Young Thug),Post Malone,82,True,0.653,150.068,0.163,0.548,0.456,-3.875,Major,2.9,F,Hollywood's Bleeding,2019
Myself,Post Malone,66,True,0.701,163.882,0.405,0.476,0.102,-4.234,Major,2.6,C,Hollywood's Bleeding,2019
I Know,Post Malone,68,True,0.603,102.94,0.262,0.666,0.497,-5.671,Major,2.4,Csharp/Dflat,Hollywood's Bleeding,2019
Wow.,Post Malone,84,True,0.539,99.96,0.388,0.829,0.136,-7.359,Minor,2.5,B,Hollywood's Bleeding,2019
Higher Love,Kygo,77,False,0.678,103.952,0.404,0.693,0.0151,-7.159,Major,3.8,Gsharp/Aflat,Higher Love,2019
Ashley,Halsey,49,True,0.531,125.014,0.366,0.663,0.137,-6.339,Major,3.1,G,Manic,2019
clementine,Halsey,47,False,0.437,143.263,0.48,0.533,0.885,-7.659,Minor,3.9,Dsharp/Eflat,Manic,2019
Graveyard,Halsey,68,False,0.583,92.043,0.187,0.667,0.231,-5.127,Minor,3.0,B,Manic,2019
You should be sad,Halsey,73,True,0.585,110.94,0.324,0.591,0.143,-6.35,Major,3.4,D,Manic,2019
Forever ... (is a long time),Halsey,45,False,0.265,70.028,0.291,0.509,0.746,-9.716,Minor,2.8,D,Manic,2019
Dominic’s Interlude,Halsey,59,False,0.368,157.885,0.707,0.406,0.784,-6.31,Major,1.3,Asharp/Bflat,Manic,2019
I HATE EVERYBODY,Halsey,49,False,0.197,79.504,0.559,0.679,0.137,-7.078,Major,2.9,F,Manic,2019
3am,Halsey,56,True,0.871,189.76,0.538,0.385,0.00906,-4.604,Minor,3.9,C,Manic,2019
Without Me,Halsey,84,True,0.488,136.041,0.533,0.752,0.297,-7.05,Major,3.4,Fsharp/Gflat,Manic,2019
Finally // beautiful stranger,Halsey,56,False,0.55,133.976,0.123,0.626,0.051,-5.105,Minor,3.7,A,Manic,2019
Alanis’ Interlude,Halsey,48,True,0.89,94.013,0.45,0.705,0.00947,-4.356,Major,2.7,C,Manic,2019
killing boys,Halsey,54,True,0.898,139.993,0.684,0.685,0.243,-5.796,Major,2.4,B,Manic,2019
SUGA's Interlude,Halsey,66,False,0.732,153.836,0.246,0.55,0.0864,-6.88,Major,2.3,C,Manic,2019
More,Halsey,50,False,0.224,170.795,0.172,0.399,0.635,-11.19,Major,2.6,B,Manic,2019
Still Learning,Halsey,57,False,0.661,102.046,0.317,0.708,0.0396,-6.543,Minor,3.5,C,Manic,2019
929,Halsey,48,True,0.317,150.152,0.617,0.642,0.935,-9.325,Major,2.9,A,Manic,2019
Giant (with Rag'n'Bone Man),Calvin Harris,74,False,0.887,122.015,0.606,0.807,0.016,-4.311,Minor,3.8,Csharp/Dflat,Giant (with Rag'n'Bone Man),2019
Intro,Cast,16,False,0.925,101.225,0.0426,0.232,0.908,-19.327,Minor,0.3,A,A Star Is Born Soundtrack,2019
Black Eyes,Bradley Cooper,56,False,0.937,150.242,0.46,0.373,0.000811,-2.133,Minor,3.1,B,A Star Is Born Soundtrack,2019
Somewhere Over The Rainbow - Dialogue,Cast,49,False,0.22,150.884,0.334,0.283,0.953,-22.951,Major,0.7,F,A Star Is Born Soundtrack,2019
Fabulous French - Dialogue,Cast,8,False,0.7,101.59,0.863,0.514,0.807,-11.251,Major,0.3,G,A Star Is Born Soundtrack,2019
La Vie En Rose,Lady Gaga,57,False,0.405,76.18,0.335,0.276,0.758,-7.296,Major,3.0,Gsharp/Aflat,A Star Is Born Soundtrack,2019
I'll Wait For You - Dialogue,Cast,8,False,0.128,116.575,0.648,0.718,0.858,-21.699,Major,0.3,Fsharp/Gflat,A Star Is Born Soundtrack,2019
Maybe It's Time,Bradley Cooper,59,False,0.282,79.776,0.359,0.699,0.798,-7.65,Major,2.7,G,A Star Is Born Soundtrack,2019
Parking Lot - Dialogue,Cast,49,False,0.384,133.153,0.386,0.535,0.766,-21.937,Major,0.5,Gsharp/Aflat,A Star Is Born Soundtrack,2019
Out Of Time,Bradley Cooper,51,False,0.915,99.983,0.359,0.584,0.173,-7.339,Major,2.9,C,A Star Is Born Soundtrack,2019
Alibi,Bradley Cooper,52,False,0.787,175.693,0.636,0.285,0.0145,-3.641,Minor,3.1,A,A Star Is Born Soundtrack,2019
Trust Me - Dialogue,Cast,46,True,0.545,90.836,0.832,0.423,0.895,-14.211,Minor,0.5,C,A Star Is Born Soundtrack,2019
Shallow,Lady Gaga,86,False,0.385,95.799,0.323,0.572,0.371,-6.362,Major,3.6,G,A Star Is Born Soundtrack,2019
Music To My Eyes,Lady Gaga,56,False,0.356,114.805,0.325,0.625,0.392,-9.044,Major,3.3,D,A Star Is Born Soundtrack,2019
Diggin' My Grave,Lady Gaga,53,False,0.612,93.964,0.561,0.684,0.171,-4.653,Minor,4.0,A,A Star Is Born Soundtrack,2019
I Love You - Dialogue,Cast,10,False,0.979,119.841,0.185,0.267,0.695,-13.05,Major,0.3,Fsharp/Gflat,A Star Is Born Soundtrack,2019
Always Remember Us This Way,Lady Gaga,72,False,0.502,129.976,0.296,0.553,0.299,-5.972,Major,3.5,C,A Star Is Born Soundtrack,2019
Unbelievable - Dialogue,Cast,12,False,0.517,56.94,0.715,0.524,0.727,-12.84,Major,0.5,Csharp/Dflat,A Star Is Born Soundtrack,2019
Look What I Found,Lady Gaga,62,False,0.493,97.012,0.447,0.849,0.456,-4.1,Minor,2.9,Csharp/Dflat,A Star Is Born Soundtrack,2019
Memphis - Dialogue,Cast,10,False,0.159,126.483,0.893,0.83,0.4,-21.566,Minor,0.4,F,A Star Is Born Soundtrack,2019
Heal Me,Lady Gaga,56,False,0.544,86.013,0.456,0.606,0.0481,-8.36,Minor,3.3,A,A Star Is Born Soundtrack,2019
I Don't Know What Love Is,Lady Gaga,59,False,0.535,62.671,0.221,0.421,0.348,-6.556,Major,3.0,C,A Star Is Born Soundtrack,2019
Is That Alright?,Lady Gaga,63,False,0.279,102.727,0.263,0.557,0.868,-7.757,Major,3.2,Fsharp/Gflat,A Star Is Born Soundtrack,2019
Why Did You Do That?,Lady Gaga,50,False,0.548,116.008,0.445,0.792,0.0304,-5.484,Minor,3.1,B,A Star Is Born Soundtrack,2019
Hair Body Face,Lady Gaga,47,False,0.457,115.009,0.401,0.863,0.0103,-6.422,Minor,3.4,E,A Star Is Born Soundtrack,2019
Scene 98 - Dialogue,Cast,43,True,0.139,65.859,0.562,0.728,0.546,-20.819,Major,0.6,G,A Star Is Born Soundtrack,2019
Before I Cry,Lady Gaga,49,False,0.56,146.41,0.167,0.48,0.157,-5.196,Major,4.3,D,A Star Is Born Soundtrack,2019
Too Far Gone,Bradley Cooper,47,False,0.482,67.479,0.342,0.565,0.0385,-6.621,Major,1.4,G,A Star Is Born Soundtrack,2019
Twelve Notes - Dialogue,Cast,43,False,0.26,81.57,0.615,0.505,0.101,-25.521,Major,1.1,B,A Star Is Born Soundtrack,2019
I'll Never Love Again - Film Version,Lady Gaga,71,False,0.34,110.502,0.221,0.451,0.763,-7.466,Major,4.7,G,A Star Is Born Soundtrack,2019
I'll Never Love Again - Extended Version,Lady Gaga,66,False,0.359,109.246,0.202,0.406,0.685,-6.145,Major,5.5,G,A Star Is Born Soundtrack,2019
Ride It,Regard,82,False,0.751,117.948,0.884,0.88,0.177,-4.258,Minor,2.6,G,Ride It,2019
Grace,Lewis Capaldi,73,False,0.565,104.483,0.488,0.722,0.435,-5.848,Major,3.1,E,Divinely Uninspired To A Hellish Extent,2019
Bruises,Lewis Capaldi,82,False,0.308,111.202,0.361,0.736,0.946,-7.83,Major,3.7,E,Divinely Uninspired To A Hellish Extent,2019
Hold Me While You Wait,Lewis Capaldi,79,False,0.53,106.958,0.162,0.688,0.443,-5.507,Major,3.4,B,Divinely Uninspired To A Hellish Extent,2019
Someone You Loved,Lewis Capaldi,90,False,0.405,109.891,0.446,0.501,0.751,-5.679,Major,3.0,Csharp/Dflat,Divinely Uninspired To A Hellish Extent,2019
Maybe,Lewis Capaldi,57,True,0.636,96.966,0.341,0.681,0.65,-5.485,Major,3.5,E,Divinely Uninspired To A Hellish Extent,2019
Forever,Lewis Capaldi,76,False,0.355,84.988,0.364,0.646,0.873,-7.119,Major,3.5,Csharp/Dflat,Divinely Uninspired To A Hellish Extent,2019
One,Lewis Capaldi,68,False,0.339,117.995,0.512,0.708,0.834,-7.085,Major,3.0,A,Divinely Uninspired To A Hellish Extent,2019
Don't Get Me Wrong,Lewis Capaldi,55,False,0.324,79.858,0.137,0.57,0.837,-7.866,Major,3.6,E,Divinely Uninspired To A Hellish Extent,2019
Hollywood,Lewis Capaldi,59,False,0.669,125.038,0.732,0.723,0.553,-4.897,Major,3.2,Asharp/Bflat,Divinely Uninspired To A Hellish Extent,2019
Lost On You,Lewis Capaldi,63,False,0.282,125.522,0.382,0.555,0.889,-8.228,Major,3.3,Asharp/Bflat,Divinely Uninspired To A Hellish Extent,2019
Fade,Lewis Capaldi,57,True,0.487,138.46,0.126,0.41,0.328,-7.663,Major,4.1,G,Divinely Uninspired To A Hellish Extent,2019
Headspace,Lewis Capaldi,54,False,0.228,146.881,0.194,0.368,0.865,-9.183,Major,5.1,B,Divinely Uninspired To A Hellish Extent,2019
Poison,Freya Ridings,33,False,0.579,120.904,0.0715,0.407,0.411,-5.729,Major,4.1,G,Freya Ridings,2019
Lost Without You,Freya Ridings,70,False,0.136,67.016,0.0976,0.386,0.932,-9.267,Major,3.8,Fsharp/Gflat,Freya Ridings,2019
Castles,Freya Ridings,61,False,0.752,116.945,0.429,0.672,0.0046,-4.866,Major,3.5,E,Freya Ridings,2019
You Mean The World To Me,Freya Ridings,48,False,0.279,160.839,0.151,0.317,0.557,-7.363,Major,3.2,Dsharp/Eflat,Freya Ridings,2019
Love Is Fire,Freya Ridings,38,False,0.813,129.806,0.14,0.594,0.0568,-4.304,Major,3.5,Gsharp/Aflat,Freya Ridings,2019
Holy Water,Freya Ridings,38,False,0.652,123.529,0.317,0.559,0.182,-3.459,Major,3.7,F,Freya Ridings,2019
Blackout,Freya Ridings,49,False,0.176,139.793,0.182,0.324,0.848,-8.752,Major,2.9,Fsharp/Gflat,Freya Ridings,2019
Ultraviolet,Freya Ridings,45,False,0.432,67.833,0.154,0.292,0.588,-7.423,Minor,3.6,C,Freya Ridings,2019
Still Have You,Freya Ridings,41,False,0.31,152.462,0.235,0.359,0.895,-3.723,Major,3.9,F,Freya Ridings,2019
Unconditional,Freya Ridings,45,False,0.216,119.082,0.278,0.402,0.919,-7.777,Major,3.3,D,Freya Ridings,2019
Elephant,Freya Ridings,37,False,0.21,94.582,0.202,0.486,0.909,-6.395,Minor,3.2,G,Freya Ridings,2019
Wishbone,Freya Ridings,29,False,0.123,125.218,0.291,0.433,0.979,-10.543,Major,3.2,A,Freya Ridings,2019
Norman fucking Rockwell,Lana Del Rey,79,True,0.203,78.287,0.143,0.215,0.968,-12.65,Major,4.1,F,Norman Fucking Rockwell!,2019
Mariners Apartment Complex,Lana Del Rey,74,True,0.252,76.054,0.159,0.531,0.763,-12.765,Major,4.1,A,Norman Fucking Rockwell!,2019
Venice Bitch,Lana Del Rey,71,True,0.286,77.826,0.312,0.368,0.913,-13.031,Minor,9.6,A,Norman Fucking Rockwell!,2019
Fuck it I love you,Lana Del Rey,73,True,0.452,129.974,0.175,0.534,0.895,-10.732,Minor,3.6,A,Norman Fucking Rockwell!,2019
Doin' Time,Lana Del Rey,85,True,0.559,144.982,0.523,0.641,0.404,-11.132,Minor,3.4,G,Norman Fucking Rockwell!,2019
Love song,Lana Del Rey,71,True,0.0701,63.425,0.288,0.384,0.966,-16.512,Major,3.8,A,Norman Fucking Rockwell!,2019
Cinnamon Girl,Lana Del Rey,85,False,0.337,91.781,0.135,0.294,0.814,-10.614,Minor,5.0,Fsharp/Gflat,Norman Fucking Rockwell!,2019
How to disappear,Lana Del Rey,76,False,0.304,78.997,0.065,0.538,0.613,-11.79,Major,3.8,A,Norman Fucking Rockwell!,2019
California,Lana Del Rey,69,False,0.41,123.758,0.195,0.449,0.761,-8.067,Minor,5.1,A,Norman Fucking Rockwell!,2019
The Next Best American Record,Lana Del Rey,65,False,0.354,108.083,0.118,0.569,0.616,-9.862,Major,5.8,D,Norman Fucking Rockwell!,2019
